Country,Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in depth (mm/year),Total internal renewable water resources per capita (m3/inhab/yr),Water resources: total external renewable (10^9 m3/yr),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Environmental Flow Requirements (10^9 m3/year),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),SDG 6.4.1. Services Water Use Efficiency (US$/m3),Irrigated cropping intensity (%),Flood occurrence (WRI)
Afghanistan,56.93704776,563.983834,327,1268.430545,18.18,1757.509385,54.04617103,548.0722936,28.29,54.75701944,0.935916632,0.102131523,31.22005931,57.68390095,100.5080831,3.7
Albania,103.9574468,5131.908959,1485,9331.399988,3.3,10476.14422,1397.975537,332.3227207,13.56,5.757211539,10.27139442,1.677333025,22.93427267,31.38714332,44.19104991,2.7
Algeria,17.73005881,4136.289853,89,266.337296,0.42,276.2832073,204.1102284,247.7479142,4.56,137.9203602,14.46319816,0.619379993,350.3771026,22.2944635,84.80237154,2.8
Andorra,163.8425532,42080.55769,,4098.381944,,4098.381944,,,0.188,,,,,,,3.3
Angola,24.71307211,3441.269755,1010,4803.668393,0.4,4816.65128,306.5652482,22.90830508,110.7,1.871883289,147.1659784,0.244792834,201.6360115,173.7773023,100,1.7
Antigua and Barbuda,218.8318182,15629.05458,1030,540.0577446,0,540.0577446,52.14672953,119.4358474,,8.461538462,118.3303621,1.936159805,110.6764875,150.086508,100,3.6
Argentina,15.95495252,11601.89008,591,6582.336121,584.24,19752.4185,2965.74514,851.6460912,515.8,10.45666408,13.24487209,0.152694152,32.59621676,62.51994066,106.3829787,2.5
Armenia,99.25168124,4237.388785,562,2323.710212,0.91,2632.002426,469.8610483,919.4561183,2.812,54.75085737,3.567124884,0.222745783,19.11149157,9.654523455,46.59090909,3.3
Australia,3.216308541,58689.49019,534,19760.50271,0,19760.50271,3124.179658,697.3087802,243.3,4.657864898,70.0799294,0.418891162,91.6382436,405.62637,100,2.7
Austria,106.0025513,52047.26046,1110,6185.760873,22.7,8738.793088,239.2989711,392.7508281,41.51,9.643547941,103.490936,3.289676481,35.27511027,369.5564464,113.6423147,3.3
Azerbaijan,114.8907275,4729.900727,447,815.6158422,26.56,3485.086793,2165.166078,1222.870974,12.03,53.72930007,3.870952127,0.159417996,50.31791633,46.60428122,87.6046176,3
Bahamas,27.78364553,31116.87141,1292,1815.178523,0,1815.178523,,,,,,,,298.8951347,,
Bahrain,2012.110256,24171.32841,83,2.54867004,0.112,73.91143117,0,276.7855664,,133.7068966,78.10711783,0.629709613,1009.884728,71.11479805,126.8562401,0
Bangladesh,1093.560398,1620.668482,2666,650.6515178,1122.032,7603.526031,40.13590363,222.2749518,600.3,5.723339482,6.164077326,0.782859194,85.25289752,36.3335161,218.2980278,4.9
Barbados,666.6069767,17761.54481,1422,279.0947562,0,279.0947562,,282.5834406,,87.5,52.18153625,0.904937297,83.87209093,182.8553454,,3.6
Belarus,45.53283719,6312.054621,618,3596.887507,23.9,6125.287844,327.951508,147.1550154,27.56,4.581410679,32.98348993,0.059127741,36.20153992,56.01192628,71.24183007,2.6
Belgium,376.094923,47225.75721,847,1045.09789,6.3,1593.774282,12.56730213,347.8434144,10.16,49.06633907,107.3083533,0.619306942,25.6521057,468.4958525,99.30313589,2.8
Belize,16.6770135,4892.75074,1705,39835.9573,6.474,56736.21861,317.6956752,263.6586951,13.72,1.260294485,13.84562488,0.126832718,7.621073645,107.7338591,100,2.6
Benin,100.0788079,906.489003,1039,896.8185059,16.09,2297.77091,2.04613931,20.37432334,13.06,0.975243811,28.38405454,0.325075885,65.83805593,32.05205247,126.744186,3.6
Bhutan,19.65063819,3253.532886,2200,103395.0699,0,103395.0699,0,448.0453029,54.1,1.413807531,6.454746019,0.597688384,232.3167832,76.15817051,111.632948,4.7
Bolivia (Plurinational State of),10.33437893,3592.084429,1146,26732.68774,270.5,50558.69115,52.41415108,183.9138452,396.6,1.177001127,13.71107975,0.248811003,281.746033,140.6995908,93.64064603,3.1
Bosnia and Herzegovina,64.90773286,5646.252354,1028,10680.14471,2,11281.843,876.1930549,,22.44,2.662018592,,,45.67079646,29.43624545,,3.6
Botswana,3.874766644,7978.140216,416,1064.741614,9.84,5430.182231,492.3121219,85.62297145,2.677,2.018195127,74.2752592,0.089098533,193.9828855,97.3138937,100,2.1
Brazil,24.59781359,8861.531858,1761,27025.43704,2986,41280.5077,3343.859091,308.3506409,4105,1.422501101,22.52355948,0.451838584,28.21763145,68.24286358,163.035472,3.1
Brunei Darussalam,74.34367418,31254.69451,2722,19815.22882,0,19815.22882,104.9344582,214.4707119,5.846,3.466465712,,4.049338889,,32.33986257,158.7301587,2.3
Bulgaria,63.55662911,9407.504648,608,2978.044157,0.3,3020.587645,924.3849063,769.3280738,7.771,40.09904649,8.62765735,0.091463475,2.735936181,41.90031257,179.3137497,3.2
Burkina Faso,72.02780979,820.166756,748,632.8644162,1,683.4935695,270.2367371,41.4146474,3.04,7.820267686,11.85473585,0.061912119,150.133382,17.07463553,148.9908983,3.3
Burundi,401.558534,292.886814,1274,900.1935864,2.476,1121.752167,,25.06403813,9.788,10.19286754,6.770626595,0.055272835,34.2858504,31.78408779,156.0538117,3.3
Cabo Verde,134.9297767,3572.545968,228,551.7068892,0,551.7068892,0,49.65362002,,8.433333333,54.03643573,0.255593149,751.1933114,720.0728821,114.4975288,
Cambodia,89.75802033,1512.505446,1904,7421.633458,355.5,29298.83656,0.061539249,134.4017203,265.4,1.036544851,7.627962709,0.344112914,213.6228288,90.85156521,121.2168979,3.9
